'a || a || venir de arriba abajo;desprenderse;caerse;desplomarse;caer;derrumbarse
'e || a || manifestar;pronunciar;decir
'ejevy || a || repetir
'u || a || beber;comer
'yta || a || saber nadar;nadar;flotar
<ha'anga/<ha'ãnga || a || intentar;amenazar;amagar;imitar;remedar;simular
<ha'arõ || a || esperar
<ha'ã || a || medir;apostar;catar;probar;tentar;remedar;lanzar;pesar;saborear;gustar;jugar a;gesticular;jugar;amagar;tirar;instigar;disparar;tantear;imitar;palpar
<ha'ỹi'o || a || sacar semilla;castrar;desgranar;desmotar;desvainar
<hapy || a || prender fuego;torturar;quedar mal con alguien;incendiar;encender;hacer pasar vergüenza;quemar;atormentar;romper relaciones
<hasa || a || atravesar;penetrar;superar;entrar;cruzar;prevalecer;transitar;irse;transcurrir;sobrepasar;recorrer;traspasar;pasar
<hasymombia || a || inmunizar;vacunar
<hasẽ || c || lamentarse;quejarse;rebuznar;llorar;ulular;mugir;lagrimear
<havi'u || a || palpar el vello;palpar;sacar pelusa;acariciar;palpar espulgando;tocar el pelo;picotear espulgando
<hayhu || a || amar;encariñar;estimar;apreciar;querer
<haĝe || c || tener prisa;apurarse
<hecha || a || divisar;avistar;notar;ver;percibir por los ojos;darse cuenta
<hechaga'u || a || añorar;anhelar;extrañar;echar de menos;desear;desear ver lo ausente
<hechagi || a || descuidar;desatender;no prestar la debida atención;ver las cosas de poca monta o la preocupación;no hacer caso;ser negligente;entrever;desinteresarse;mirar con disimulo e indiferencia
<hechauka || a || hacer ver;demostrar;averiguar;investigar;orientar;indagar;señalar;denotar;mostrar;visualizar;manifestar;ostentar;revelar;indicar
<heja || a || abandonar;dejar;desistir;permitir;desatender;desechar
<heka || a || buscar;provocar
<hekakahýi || c || sentir ganas de defecar;tener ganas de defecar
<hekombo'e || a || orientar;adiestrar;educar;aconsejar;enseñar
<hekotevẽ || a || ser necesario;ser importante;exigir;tener que;necesitar;requerir
<hekýi || a || quitar;arrebatar;estirar;sacar;sacar en cara lo hecho a favor de alguien;arrancar con fuerza;desfibrar;desenvainar;esquivar;tirar;deshilvanar;dislocar;desenfundar;descorchar;extraer;deshilar
<hemby || c || quedar de lado;estar demás;sobrar
<hendu || a || entender;oir;escuchar
<hendy || c || arder;estar en llamas;estar encendido;tener saliva
<henonde'a || a || prevenir;prever;salir al encuentro o al paso;anteceder;pasar por delante;ponerse delante;adelantarse;aventajar;ganar la delantera;alcanzar y pasar a alguien;preceder
<henói || a || vocear;invitar ;invocar;poner nombre;nombrar;llamar;invitar;convocar;denominar
<hepy || c || ser caro;tener costo;costar;estar caro
<hepyme'ẽ || a || sufragar;abonar;premiar;costear;recompensar;retribuir;agradecer;pagar;saldar la cuenta;resarcir;remunerar
<hero || a || llamar a las cosas;nombrar;poner nombre;apodar;motejar;denominar
<hesaho || c || notar;ver algo por casualidad;entrever;ver de repente a alguien;ver por casualidad
<hesako'õ || a || irritar la vista;tener irritación;producir fastidio;ser molestado;tener los ojos irritados;ofender;molestar
<hesape || a || tener ojo aplastado;alumbrar;llenar de luz y claridad;esclarecer;iluminar;brillar;despedir rayos de luz;destellar;resplandecer;aclarar;dar luz;poner luz o acompañar con luz a otro
<hesape'a || a || instruir;ilustrar;sacarle a una persona de la ignorancia;abrir los ojos;encaminar;aconsejar
<hesapirĩ || a || pestañear;abrir y cerrar los ojos;parpadear
<hesareko || c || fijarse;espiar;fijar los ojos
<hesarái || c || olvidarse de;olvidarse;olvidar
<hesy || a || asar;freír;secar al fuego;quemar;tostar;molestar;dorar
