'conectar'|tupachiy
(<Dios [te] lo pagará)|yusulpay; Yusulpayki!
(ANC:) deshacer los surcos con puntilla o palana en el sembrío (por boleo) de cebada o trigo|hallmay
(BOL:) labio superior (?)|wirp'a; wirpha
(CAJ:) tizón|puchu
(ECU:) nosotros (en general) ...|-nchiq; -nchis
(LAM:) tela casera|p'acha
([e]: vocal media anterior - junto a [q]/[qh]/[q'] y en préstamos del español)|i
([i]: vocal alta anterior - junto a [k]/[kh]/[k'] y, generalmente, en palabras quechuas sin [q]/[qh]/[q'])|i
([o]: vocal media posterior - junto a [q]/[qh]/[q'] y en préstamos del español)|u
([u]: vocal alta posterior - junto a [k]/[kh]/[k'] y, generalmente, en palabras quechuas sin [q]/[qh]/[q'])|u
(acto de hacerlo)|-y
(apócope de manchay)|may
(b) Procyon, Castor, eta y mu Geminorum (proveniencia: Misminay, Sonqo)|Hatun Krus
(consonante africada palatal aspirada sorda)|chh
(consonante africada palatal glotalizada sorda)|ch'
(consonante africada palatal sorda)|ch
(consonante africada palatal, simple)|ch
(consonante alveolar vibrante)|r
(consonante fricativa alveolar)|s
(consonante fricativa dentoalveolar sorda)|s
(consonante fricativa global, se pronuncia como la /j/ del castellano, ocurre a inicio de silaba)|h
(consonante fricativa glotal sorda)|h
(consonante labial simple)|p
(consonante labial, nasal)|m
(consonante lateral alveolar sonora)|l
(consonante lateral palatal sonora)|ll
(consonante nasal alveolar sonora)|n
(consonante nasal bilabial sonora)|m
(consonante nasal palatal sonora)|ñ
(consonante nasal, alveolar)|n
(consonante nasal, palatal)|ñ
(consonante oclusiva alveolar)|t
(consonante oclusiva bilabial aspirada sorda)|ph
(consonante oclusiva bilabial glotalizada sorda)|p'
(consonante oclusiva bilabial sorda)|p
(consonante oclusiva dental aspirada sorda)|th
(consonante oclusiva dental glotalizada sorda)|t'
(consonante oclusiva dental sorda)|t
(consonante oclusiva post-velar simple)|q
(consonante oclusiva postvelar aspirada sorda)|qh
(consonante oclusiva postvelar glotalizada sorda)|q'
(consonante oclusiva postvelar sorda)|q
(consonante oclusiva simple velar, aspirada y explosiva)|k
(consonante velar aspirada sorda)|kh
(consonante velar glotalizada sorda)|k'
(consonante velar sorda)|k
(consonante vibrante simple sonora)|r
(consonate lateral alveolar)|l
(consonate lateral, palatal)|ll
(el, la) siguiente|kay qatiq
(en cantidad mayor)|astawan
(en el extremo del grupo de la palabra)|chaypis; chaypas
(esp. hist.) Çaçça Huaman, Çaççay Huaman|Sasawaman; Sasaywaman
(esp.) Abancay|Awankay
(esp.) Acomayo (<río de arena)|Aqumayu
(esp.) Acopampa (<llanura de arena)|Aqupanpa
(esp.) Acopía|Aqupiya
(esp.) Ancoccala|Ankuqala
(esp.) Andahuaylas (<pradera cobriza)|Antawayla; Antawaylla
